,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Apod,0,5.252604645,1,0.065,0,1,Apod
Vtn,0,4.002890427,0.936,0.024,0,1,Vtn
Igfbp2,0,3.599345203,0.968,0.107,0,1,Igfbp2
Dcn,0,3.528811689,0.941,0.037,0,1,Dcn
Spp1,0,3.322787468,0.519,0.022,0,1,Spp1
Slc6a13,0,3.265006959,0.936,0.007,0,1,Slc6a13
Gjb6,0,3.021526979,0.84,0.032,0,1,Gjb6
Sparc,0,2.896241842,0.989,0.065,0,1,Sparc
Slc6a20a,0,2.805812272,0.909,0.007,0,1,Slc6a20a
Serpinf1,0,2.776324265,0.936,0.03,0,1,Serpinf1
Serping1,0,2.75918115,0.968,0.017,0,1,Serping1
Fam180a,0,2.731353104,0.727,0.002,0,1,Fam180a
Fmod,0,2.688372854,0.711,0.006,0,1,Fmod
Pcolce,0,2.685940405,0.957,0.011,0,1,Pcolce
Igf2,0,2.63829688,0.936,0.004,0,1,Igf2
Cfh,0,2.567250412,0.893,0.01,0,1,Cfh
Ifitm3,0,2.550191242,0.979,0.021,0,1,Ifitm3
Ogn,0,2.526176722,0.866,0.011,0,1,Ogn
Lum,0,2.504628403,0.706,0.008,0,1,Lum
Slc22a8,0,2.501871932,0.872,0.008,0,1,Slc22a8
Efemp1,0,2.448514753,0.845,0.078,0,1,Efemp1
Cp,0,2.438207902,0.882,0.073,0,1,Cp
Colec12,0,2.433604674,0.904,0.02,0,1,Colec12
Slc22a6,0,2.409986358,0.856,0.001,0,1,Slc22a6
Aldh1a2,0,2.361393118,0.872,0.003,0,1,Aldh1a2
Itih5,0,2.358374131,0.77,0.024,0,1,Itih5
Gjb2,0,2.352381052,0.834,0.004,0,1,Gjb2
Id3,0,2.34136983,0.877,0.096,0,1,Id3
Pltp,0,2.249580713,0.898,0.059,0,1,Pltp
Col1a2,0,2.234553546,0.947,0.007,0,1,Col1a2
Trf,0,2.224152738,0.722,0.035,0,1,Trf
Slc13a4,0,2.179977862,0.802,0.003,0,1,Slc13a4
Kcnj13,0,2.17195442,0.583,0.041,0,1,Kcnj13
Bgn,0,2.153569786,0.888,0.009,0,1,Bgn
Anxa2,0,2.13680443,0.909,0.07,0,1,Anxa2
Olfml3,0,2.085064142,0.802,0.014,0,1,Olfml3
Fgfbp1,0,2.024043027,0.524,0.001,0,1,Fgfbp1
Ctsh,0,1.998480084,0.856,0.014,0,1,Ctsh
Rbp1,0,1.978234409,0.84,0.034,0,1,Rbp1
Slc1a3,0,1.935035901,0.952,0.079,0,1,Slc1a3
Txnip,0,1.923102977,0.749,0.015,0,1,Txnip
Prelp,0,1.922920925,0.845,0.015,0,1,Prelp
Cnn2,0,1.860375905,0.845,0.034,0,1,Cnn2
Aebp1,0,1.812655811,0.775,0.03,0,1,Aebp1
Vcam1,0,1.808094639,0.717,0.022,0,1,Vcam1
Cpq,0,1.783432452,0.781,0.032,0,1,Cpq
Gja1,0,1.78112287,0.914,0.031,0,1,Gja1
Cped1,0,1.772110195,0.92,0.037,0,1,Cped1
